set_num,name,year,theme_id,num_parts,img_url
42125-1,"Ferrari 488 GTE ""AF Corse #51""",2021,1,1684,https://cdn.rebrickable.com/media/sets/42125-1.jpg
42126-1,Ford F-150 Raptor,2021,1,1379,https://cdn.rebrickable.com/media/sets/42126-1.jpg
42127-1,The Batman - Batmobile,2021,1,1360,https://cdn.rebrickable.com/media/sets/42127-1.jpg
42128-1,Heavy Duty Tow Truck,2021,1,2017,https://cdn.rebrickable.com/media/sets/42128-1.jpg
42129-1,4x4 Mercedes-Benz Zetros Trial Truck,2021,1,2131,https://cdn.rebrickable.com/media/sets/42129-1.jpg
42130-1,BMW Motorrad M 1000 RR,2022,1,1922,https://cdn.rebrickable.com/media/sets/42130-1.jpg
42131-1,Cat D11 Bulldozer,2021,1,3854,https://cdn.rebrickable.com/media/sets/42131-1.jpg
42132-1,Motorcycle,2022,1,163,https://cdn.rebrickable.com/media/sets/42132-1.jpg
42133-1,Telehandler,2022,1,143,https://cdn.rebrickable.com/media/sets/42133-1.jpg
42134-1,Monster Jam Megalodon,2022,1,260,https://cdn.rebrickable.com/media/sets/42134-1.jpg
42135-1,Monster Jam El Toro Loco,2022,1,247,https://cdn.rebrickable.com/media/sets/42135-1.jpg
42136-1,John Deere 9620R 4WD Tractor,2022,1,390,https://cdn.rebrickable.com/media/sets/42136-1.jpg
42137-1,Formula E Porsche 99X Electric,2022,1,422,https://cdn.rebrickable.com/media/sets/42137-1.jpg
42138-1,Ford Mustang Shelby GT500,2022,1,544,https://cdn.rebrickable.com/media/sets/42138-1.jpg
42139-1,All-Terrain Vehicle,2022,1,764,https://cdn.rebrickable.com/media/sets/42139-1.jpg
42140-1,App-Controlled Transformation Vehicle,2022,1,772,https://cdn.rebrickable.com/media/sets/42140-1.jpg
42141-1,McLaren Formula 1 Team 2022 (First Edition),2022,1,1432,https://cdn.rebrickable.com/media/sets/42141-1.jpg
